Algorithm,n,comparisons,maxDepth,time(ns)
MergeSort,100,279,0,383800
QuickSort,100,619,0,121800
Select,100,188,-,599400
ClosestPair,100,-,7,9843400
MergeSort,500,2431,0,278400
QuickSort,500,4714,0,323600
Select,500,1008,-,213300
ClosestPair,500,-,9,4120400
MergeSort,1000,5876,0,704900
QuickSort,1000,12099,0,134400
Select,1000,1947,-,175600
ClosestPair,1000,-,10,2682600
MergeSort,5000,44008,0,671200
QuickSort,5000,73650,0,608500
Select,5000,10125,-,926600
ClosestPair,5000,-,12,8463600
MergeSort,10000,98021,0,1420600
QuickSort,10000,157778,0,1225500
Select,10000,19951,-,3236000
ClosestPair,10000,-,13,11512400
